date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:06	0/0	---M--	200	added ('OK')	text/css	etag:%220-64944c9a-83763a971c16874b;;;%22	https://creditopopularemprestimos.com.br/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles.css?ver=1.2.9	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/jeg-elementor-kit/lib/jeg-framework/assets/css/jeg-dynamic-styles077c.css	(from https://creditopopularemprestimos.com.br/)
21:05:07	3113/3113	---M-Z	200	added ('OK')	application/javascript	etag:%22c29-621d0b16-5e3a6e1b5a4c6419;gz%22	https://creditopopularemprestimos.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://creditopopularemprestimos.com.br/)
21:05:07	4957/4957	---M-Z	200	added ('OK')	application/javascript	etag:%22135d-64936727-6bc1725715e50ff0;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.7.8	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min3621.js	(from https://creditopopularemprestimos.com.br/)
21:05:07	58348/58348	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2000:05:07%20GMT	https://creditopopularemprestimos.com.br/representante-legal/	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/representante-legal/index.html	(from https://creditopopularemprestimos.com.br/)
21:05:07	32929/32929	---M-Z	200	added ('OK')	application/javascript	etag:%2280a1-64936727-32024fa17b6e39ce;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.7.8	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min3621.js	(from https://creditopopularemprestimos.com.br/)
21:05:07	12198/12198	---M-Z	200	added ('OK')	application/javascript	etag:%222fa6-64936728-3cbd0a852942aba2;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://creditopopularemprestimos.com.br/)
21:05:08	21438/21438	---M-Z	200	added ('OK')	application/javascript	etag:%2253be-6425443d-3f80b89f2ced466;gz%22	https://creditopopularemprestimos.com.br/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-includes/js/jquery/ui/core.min3f14.js	(from https://creditopopularemprestimos.com.br/)
21:05:08	40513/40513	---M-Z	200	added ('OK')	application/javascript	etag:%229e41-64936727-5303cf3247b5ee73;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.7.8	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/js/frontend.min3621.js	(from https://creditopopularemprestimos.com.br/)
21:05:08	78088/78088	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2000:05:08%20GMT	https://creditopopularemprestimos.com.br/fale-conosco/	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/fale-conosco/index.html	(from https://creditopopularemprestimos.com.br/)
21:05:08	76037/76037	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2000:05:08%20GMT	https://creditopopularemprestimos.com.br/sobre-nos/	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/sobre-nos/index.html	(from https://creditopopularemprestimos.com.br/)
